GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sale,com.akshit.sale.controller,BrandApiController,65,0,2,0,18,0,6,0,5,0
sale,com.akshit.sale.controller,ProductApiController,12,0,0,0,4,0,3,0,3,0
sale,com.akshit.sale.controller,SiteUIController,49,0,0,0,12,0,9,0,9,0
sale,com.akshit.sale.dao,AbstractDao,19,0,0,0,4,0,4,0,4,0
sale,com.akshit.sale.dao,ProductDao,19,0,0,0,6,0,4,0,4,0
sale,com.akshit.sale.dao,BrandDao,39,0,0,0,11,0,5,0,5,0
sale,com.akshit.sale.service,ProductService,134,0,8,0,32,0,10,0,6,0
sale,com.akshit.sale.service,BrandService,36,0,2,0,10,0,4,0,3,0
sale,com.akshit.sale.service,ApiException,4,0,0,0,2,0,1,0,1,0
sale,com.akshit.sale.dto,ProductDto,12,0,0,0,4,0,3,0,3,0
sale,com.akshit.sale.dto,branddto,3,0,0,0,1,0,1,0,1,0
sale,com.akshit.sale.spring,DbConfig,108,0,0,0,28,0,4,0,4,0
sale,com.akshit.sale.spring,WebInitializer,20,0,0,0,4,0,4,0,4,0
sale,com.akshit.sale.spring,SpringConfig,3,0,0,0,1,0,1,0,1,0
sale,com.akshit.sale.spring,ControllerConfig,116,0,0,0,27,0,8,0,8,0
sale,com.akshit.sale.pojo,BrandDetail,24,0,0,0,10,0,7,0,7,0
sale,com.akshit.sale.pojo,Product,38,0,0,0,16,0,11,0,11,0
sale,com.akshit.sale.pojo,Inventory,17,0,0,0,7,0,5,0,5,0
sale,com.akshit.sale.pojo,OrderHistory,17,0,0,0,7,0,5,0,5,0
sale,com.akshit.sale.model,ProductForm,45,0,0,0,19,0,13,0,13,0
sale,com.akshit.sale.model,BrandForm,17,0,0,0,7,0,5,0,5,0
sale,com.akshit.sale.model,ProductData,45,0,0,0,19,0,13,0,13,0
sale,com.akshit.sale.model,InfoData,21,0,0,0,6,0,3,0,3,0
